employeeId,firstName,lastName,managerId,fullName,email,department,region,location,type,inactiveIdentity,jobtitle,costcenter
1a2c3d4e,Martha,Price,1a2c3d,Martha.Price,Martha.Price@hrmsmail.com,Finance,Americas,San Jose,Employee,FALSE,Data Analyst,"R03e, L08e"
1b,Jerry,Bennett,NULL,Jerry.Bennett,Jerry.Bennett@hrmsmail.com,Executive Management,Europe,Brussels,Employee,FALSE,Data Analyst,"R01, L01, L02, L03"
1b2a,Debra,Wood,1b,Debra.Wood,Debra.Wood@hrmsmail.com,Regional Operations,Europe,Brussels,Employee,FALSE,Inventory Analyst I,"R01, L01"
1b2b,Dennis,Barnes,1b,Dennis.Barnes,Dennis.Barnes@hrmsmail.com,Regional Operations,Europe,Munich,Employee,FALSE,Inventory Analyst I,"R01, L02"
1b2c,Amanda,Ross,1b,Amanda.Ross,Amanda.Ross@hrmsmail.com,Regional Operations,Europe,London,Employee,FALSE,Inventory Analyst I,"R01, L03"
1b2a3a,Walter,Henderson,1b2a,Walter.Henderson,Walter.Henderson@hrmsmail.com,Information Technology,Europe,Brussels,Employee,FALSE,Security Architect,"R01e, L01"
1b2a3b,Stephanie,Coleman,1b2a,Stephanie.Coleman,Stephanie.Coleman@hrmsmail.com,Information Technology,Europe,Brussels,Employee,FALSE,Telecommunications and Network Manager,"R01e, L01"
1b2a3c,Patrick,Jenkins,1b2a,Patrick.Jenkins,Patrick.Jenkins@hrmsmail.com,Engineering,Europe,Brussels,Employee,FALSE,Staging Manager,"R01e, L01"
1b2a3d,Carolyn,Perry,1b2a,Carolyn.Perry,Carolyn.Perry@hrmsmail.com,Engineering,Europe,Brussels,Employee,FALSE,Staging Manager,"R01e, L01"
1b2b3a,Peter,Powell,1b2b,Peter.Powell,Peter.Powell@hrmsmail.com,Human Resources,Europe,Munich,Employee,FALSE,Compensation,"R01e, L02"
1b2b3b,Christine,Long,1b2b,Christine.Long,Christine.Long@hrmsmail.com,Human Resources,Europe,Munich,Employee,FALSE,Employment Manager,"R01e, L02"
1b2b3c,Harold,Patterson,1b2b,Harold.Patterson,Harold.Patterson@hrmsmail.com,Inventory,Europe,Munich,Employee,FALSE,Procurement Manager,"R01e, L02"
1b2b3d,Marie,Hughes,1b2b,Marie.Hughes,Marie.Hughes@hrmsmail.com,Inventory,Europe,Munich,Employee,FALSE,Procurement Buyer,"R01e, L02"
1b2c3a,Douglas,Flores,1b2c,Douglas.Flores,Douglas.Flores@hrmsmail.com,Accounting,Europe,London,Employee,FALSE,Payroll Manager,"R01e, L03"
1b2c3b,Janet,Washington,1b2c,Janet.Washington,Janet.Washington@hrmsmail.com,Accounting,Europe,London,Employee,FALSE,Payroll Manager,"R01e, L03"
1b2c3c,Henry,Butler,1b2c,Henry.Butler,Henry.Butler@hrmsmail.com,Finance,Europe,London,Employee,FALSE,Treasury Analyst,"R01e, L03"
1b2c3d,Catherine,Simmons,1b2c,Catherine.Simmons,Catherine.Simmons@hrmsmail.com,Finance,Europe,London,Employee,FALSE,Treasury Analyst,"R01e, L03"
1b2a3a4a,Carl,Foster,1b2a3a,Carl.Foster,Carl.Foster@hrmsmail.com,Information Technology,Europe,Brussels,Employee,FALSE,Security Architect,"R01e, L01e"
1b2a3a4b,Frances,Gonzales,1b2a3a,Frances.Gonzales,Frances.Gonzales@hrmsmail.com,Information Technology,Europe,Brussels,Employee,FALSE,Security Architect,"R01e, L01e"
1b2a3a4e,Ryan,Russell,1b2a3a,Ryan.Russell,Ryan.Russell@hrmsmail.com,Information Technology,Europe,Brussels,Employee,FALSE,Security Architect,"R01e, L01e"
1b2a3b4a,Joyce,Griffin,1b2a3b,Joyce.Griffin,Joyce.Griffin@hrmsmail.com,Information Technology,Europe,Brussels,Employee,FALSE,Network Systems Administrator,"R01e, L01e"
1b2a3b4b,Roger,Diaz,1b2a3b,Roger.Diaz,Roger.Diaz@hrmsmail.com,Information Technology,Europe,Brussels,Employee,FALSE,Network Systems Administrator,"R01e, L01e"
1b2a3b4e,Alice,Ford,1b2a3b,Alice.Ford,Alice.Ford@hrmsmail.com,Information Technology,Europe,Brussels,Employee,TRUE,Data Communications Analyst,"R01e, L01e"
1b2a3c4a,Juan,Hamilton,1b2a3c,Juan.Hamilton,Juan.Hamilton@hrmsmail.com,Engineering,Europe,Brussels,Employee,FALSE,Staging Developer II,"R01e, L01e"
1b2a3c4b,Julie,Graham,1b2a3c,Julie.Graham,Julie.Graham@hrmsmail.com,Engineering,Europe,Brussels,Employee,FALSE,Inventory Analyst I,"R01e, L01e"
1b2a3c4e,Albert,Woods,1b2a3c,Albert.Woods,Albert.Woods@hrmsmail.com,Engineering,Europe,Brussels,Employee,TRUE,Inventory Analyst I,"R01e, L01e"
1b2a3d4a,Teresa,Cole,1b2a3d,Teresa.Cole,Teresa.Cole@hrmsmail.com,Engineering,Europe,Brussels,Employee,TRUE,Staging Test Engineer I,"R01e, L01e"
1b2a3d4b,Jonathan,West,1b2a3d,Jonathan.West,Jonathan.West@hrmsmail.com,Engineering,Europe,Brussels,Employee,FALSE,Production Test Engineer I,"R01e, L01e"
1b2a3d4e,Gloria,Reynolds,1b2a3d,Gloria.Reynolds,Gloria.Reynolds@hrmsmail.com,Engineering,Europe,Brussels,Employee,FALSE,Staging Developer I,"R01e, L01e"
1b2b3a4a,Terry,Fisher,1b2b3a,Terry.Fisher,Terry.Fisher@hrmsmail.com,Human Resources,Europe,Munich,Employee,FALSE,Compensation,"R01e, L02e"
1b2b3a4b,Evelyn,Ellis,1b2b3a,Evelyn.Ellis,Evelyn.Ellis@hrmsmail.com,Human Resources,Europe,Munich,Employee,FALSE,Compensation,"R01e, L02e"
1b2b3a4e,Keith,Mcdonald,1b2b3a,Keith.Mcdonald,Keith.Mcdonald@hrmsmail.com,Human Resources,Europe,Munich,Employee,FALSE,Compensation,"R01e, L02e"
1b2b3b4a,Cheryl,Cruz,1b2b3b,Cheryl.Cruz,Cheryl.Cruz@hrmsmail.com,Human Resources,Europe,Munich,Employee,FALSE,Employee Relations Manager,"R01e, L02e"
1b2b3b4b,Samuel,Marshall,1b2b3b,Samuel.Marshall,Samuel.Marshall@hrmsmail.com,Human Resources,Europe,Munich,Employee,FALSE,Employee Relations Manager,"R01e, L02e"
1b2b3b4e,Katherine,Murray,1b2b3b,Katherine.Murray,Katherine.Murray@hrmsmail.com,Human Resources,Europe,Munich,Employee,FALSE,Employee Relations Manager,"R01e, L02e"
1b2b3c4a,Ralph,Freeman,1b2b3c,Ralph.Freeman,Ralph.Freeman@hrmsmail.com,Inventory,Europe,Munich,Employee,FALSE,Procurement Buyer,"R01e, L02e"
1b2b3c4b,Joan,Wells,1b2b3c,Joan.Wells,Joan.Wells@hrmsmail.com,Inventory,Europe,Munich,Employee,FALSE,Procurement Buyer,"R01e, L02e"
1b2b3c4e,Nicholas,Stevens,1b2b3c,Nicholas.Stevens,Nicholas.Stevens@hrmsmail.com,Inventory,Europe,Munich,Employee,FALSE,Inventory Analyst II,"R01e, L02e"
1b2b3d4a,Judith,Tucker,1b2b3d,Judith.Tucker,Judith.Tucker@hrmsmail.com,Inventory,Europe,Munich,Employee,TRUE,Procurement Buyer,"R01e, L02e"
1b2b3d4b,Roy,Porter,1b2b3d,Roy.Porter,Roy.Porter@hrmsmail.com,Inventory,Europe,Munich,Employee,FALSE,Procurement Buyer,"R01e, L02e"
1b2b3d4e,Janice,Crawford,1b2b3d,Janice.Crawford,Janice.Crawford@hrmsmail.com,Inventory,Europe,Munich,Employee,FALSE,Procurement Buyer,"R01e, L02e"
1b2c3a4a,Bruce,Henry,1b2c3a,Bruce.Henry,Bruce.Henry@hrmsmail.com,Accounting,Europe,London,Employee,FALSE,Payroll Analyst I,"R01e, L03e"
1b2c3a4b,Kelly,Boyd,1b2c3a,Kelly.Boyd,Kelly.Boyd@hrmsmail.com,Accounting,Europe,London,Employee,FALSE,Payroll Analyst I,"R01e, L03e"
1b2c3a4e,Adam,Kennedy,1b2c3a,Adam.Kennedy,Adam.Kennedy@hrmsmail.com,Accounting,Europe,London,Employee,FALSE,Payroll Analyst II,"R01e, L03e"
1b2c3b4a,Judy,Warren,1b2c3b,Judy.Warren,Judy.Warren@hrmsmail.com,Accounting,Europe,London,Employee,FALSE,Senior Payroll Analyst,"R01e, L03e"
1b2c3b4b,Harry,Dixon,1b2c3b,Harry.Dixon,Harry.Dixon@hrmsmail.com,Accounting,Europe,London,Employee,FALSE,Senior Payroll Analyst,"R01e, L03e"
1b2c3b4e,Kathy,Burns,1b2c3b,Kathy.Burns,Kathy.Burns@hrmsmail.com,Accounting,Europe,London,Employee,FALSE,Payroll Analyst I,"R01e, L03e"
1b2c3c4a,Wayne,Gordon,1b2c3c,Wayne.Gordon,Wayne.Gordon@hrmsmail.com,Finance,Europe,London,Employee,FALSE,Treasury Analyst,"R01e, L03e"
1b2c3c4b,Theresa,Shaw,1b2c3c,Theresa.Shaw,Theresa.Shaw@hrmsmail.com,Finance,Europe,London,Employee,FALSE,Treasury Analyst,"R01e, L03e"
1b2c3c4e,Steve,Robertson,1b2c3c,Steve.Robertson,Steve.Robertson@hrmsmail.com,Finance,Europe,London,Employee,FALSE,Inventory Analyst II,"R01e, L03e"
1b2c3d4a,Denise,Hunt,1b2c3d,Denise.Hunt,Denise.Hunt@hrmsmail.com,Finance,Europe,London,Employee,TRUE,Treasury Analyst,"R01e, L03e"
1b2c3d4b,Louis,Black,1b2c3d,Louis.Black,Louis.Black@hrmsmail.com,Finance,Europe,London,Employee,FALSE,Treasury Analyst,"R01e, L03e"
1b2c3d4e,Irene,Mills,1b2c3d,Irene.Mills,Irene.Mills@hrmsmail.com,Finance,Europe,London,Employee,FALSE,Treasury Analyst,"R01e, L03e"
1c,Aaron,Nichols,NULL,Aaron.Nichols,Aaron.Nichols@hrmsmail2.com,Executive Management,Asia-Pacific,Singapore,Employee,FALSE,Operations Manager,"R02, L04, L05, L06"
1c2a,Jane,Grant,1c,Jane.Grant,Jane.Grant@hrmsmail.com,Regional Operations,Asia-Pacific,Singapore,Employee,FALSE,SOX Access Reviewer,"R02, L04"
1c2b,Randy,Knight,1c,Randy.Knight,Randy.Knight@hrmsmail.com,Regional Operations,Asia-Pacific,Tokyo,Employee,FALSE,Operations Director,"R02, L05"
1c2c,Lori,Ferguson,1c,Lori.Ferguson,Lori.Ferguson@hrmsmail.com,Regional Operations,Asia-Pacific,Taipei,Employee,FALSE,Operations Analyst,"R02, L06"
1c2a3a,Howard,Rose,1c2a,Howard.Rose,Howard.Rose@hrmsmail.com,Information Technology,Asia-Pacific,Singapore,Employee,FALSE,IT Distributed Systems Manager,"R02e, L04"
1c2a3b,Rachel,Stone,1c2a,Rachel.Stone,Rachel.Stone@hrmsmail.com,Information Technology,Asia-Pacific,Singapore,Employee,FALSE,Internal Audit Manager,"R02e, L04"
1c2a3c,Eugene,Hawkins,1c2a,Eugene.Hawkins,Eugene.Hawkins@hrmsmail.com,Engineering,Asia-Pacific,Singapore,Employee,FALSE,Internal Development Manager,"R02e, L04"
1c2a3d,Marilyn,Dunn,1c2a,Marilyn.Dunn,Marilyn.Dunn@hrmsmail.com,Engineering,Asia-Pacific,Singapore,Employee,FALSE,Internal QA Manager,"R02e, L04"
1c2b3a,Carlos,Perkins,1c2b,Carlos.Perkins,Carlos.Perkins@hrmsmail.com,Human Resources,Asia-Pacific,Tokyo,Employee,FALSE,Compensation & Benefits Manager,"R02e, L05"
1c2b3b,Andrea,Hudson,1c2b,Andrea.Hudson,Andrea.Hudson@hrmsmail.com,Human Resources,Asia-Pacific,Tokyo,Employee,TRUE,Compensation & Benefits Manager,"R02e, L05"
1c2b3c,Russell,Spencer,1c2b,Russell.Spencer,Russell.Spencer@hrmsmail.com,Inventory,Asia-Pacific,Tokyo,Employee,FALSE,Inventory Manager,"R02e, L05"
1c2b3d,Kathryn,Gardner,1c2b,Kathryn.Gardner,Kathryn.Gardner@hrmsmail.com,Inventory,Asia-Pacific,Tokyo,Employee,FALSE,Inventory Manager,"R02e, L05"
1c2c3a,Bobby,Stephens,1c2c,Bobby.Stephens,Bobby.Stephens@hrmsmail.com,Accounting,Asia-Pacific,Taipei,Employee,FALSE,Tax Accountant,"R02e, L06"
1c2c3b,Louise,Payne,1c2c,Louise.Payne,Louise.Payne@hrmsmail.com,Accounting,Asia-Pacific,Taipei,Employee,FALSE,Tax Accountant,"R02e, L06"
1c2c3c,Victor,Pierce,1c2c,Victor.Pierce,Victor.Pierce@hrmsmail.com,Finance,Asia-Pacific,Taipei,Employee,FALSE,Inventory Analyst III,"R02e, L06"
1c2c3d,Sara,Berry,1c2c,Sara.Berry,Sara.Berry@hrmsmail.com,Finance,Asia-Pacific,Taipei,Employee,FALSE,Financial Systems Analyst,"R02e, L06"
1c2a3a4a,Martin,Matthews,1c2a3a,Martin.Matthews,Martin.Matthews@hrmsmail.com,Information Technology,Asia-Pacific,Singapore,Employee,FALSE,Windows Administrator,"R02e, L04e"
1c2a3a4b,Anne,Arnold,1c2a3a,Anne.Arnold,Anne.Arnold@hrmsmail.com,Information Technology,Asia-Pacific,Singapore,Employee,TRUE,Helpdesk Associate,"R02e, L04e"
1c2a3a4e,Phillip,Ray,1c2a3a,Phillip.Ray,Phillip.Ray@hrmsmail.com,Information Technology,Asia-Pacific,Singapore,Employee,FALSE,Windows Administrator,"R02e, L04e"
1c2a3b4a,Wanda,Watkins,1c2a3b,Wanda.Watkins,Wanda.Watkins@hrmsmail.com,Information Technology,Asia-Pacific,Singapore,Employee,FALSE,Internal Auditor,"R02e, L04e"
1c2a3b4b,Todd,Olson,1c2a3b,Todd.Olson,Todd.Olson@hrmsmail.com,Information Technology,Asia-Pacific,Singapore,Employee,FALSE,Unix Administrator,"R02e, L04e"
1c2a3b4e,Julia,Snyder,1c2a3b,Julia.Snyder,Julia.Snyder@hrmsmail.com,Information Technology,Asia-Pacific,Singapore,Employee,FALSE,Internal Auditor,"R02e, L04e"
1c2a3c4a,Craig,Hart,1c2a3c,Craig.Hart,Craig.Hart@hrmsmail.com,Engineering,Asia-Pacific,Singapore,Employee,FALSE,Product Developer I,"R02e, L04e"
1c2a3c4b,Ruby,Cunningham,1c2a3c,Ruby.Cunningham,Ruby.Cunningham@hrmsmail.com,Engineering,Asia-Pacific,Singapore,Employee,FALSE,Product Developer II,"R02e, L04e"
1c2a3c4e,Shawn,Andrews,1c2a3c,Shawn.Andrews,Shawn.Andrews@hrmsmail.com,Engineering,Asia-Pacific,Singapore,Employee,FALSE,Product Developer III,"R02e, L04e"
1c2a3d4a,Tina,Ruiz,1c2a3d,Tina.Ruiz,Tina.Ruiz@hrmsmail.com,Engineering,Asia-Pacific,Singapore,Employee,TRUE,QA Analyst,"R02e, L04e"
1c2a3d4b,Clarence,Harper,1c2a3d,Clarence.Harper,Clarence.Harper@hrmsmail.com,Engineering,Asia-Pacific,Singapore,Employee,FALSE,QA Analyst,"R02e, L04e"
1c2a3d4e,Norma,Armstrong,1c2a3d,Norma.Armstrong,Norma.Armstrong@hrmsmail.com,Engineering,Asia-Pacific,Singapore,Employee,FALSE,QA Analyst,"R02e, L04e"
1c2b3a4a,Philip,Carpenter,1c2b3a,Philip.Carpenter,Philip.Carpenter@hrmsmail.com,Human Resources,Asia-Pacific,Tokyo,Employee,FALSE,Benefits Manager,"R02e, L05e"
1c2b3a4b,Paula,Weaver,1c2b3a,Paula.Weaver,Paula.Weaver@hrmsmail.com,Human Resources,Asia-Pacific,Tokyo,Employee,FALSE,Benefits Clerk,"R02e, L05e"
1c2b3a4e,Johnny,Elliott,1c2b3a,Johnny.Elliott,Johnny.Elliott@hrmsmail.com,Human Resources,Asia-Pacific,Tokyo,Employee,FALSE,Benefits Clerk,"R02e, L05e"
1c2b3b4a,Annie,Chavez,1c2b3b,Annie.Chavez,Annie.Chavez@hrmsmail.com,Human Resources,Asia-Pacific,Tokyo,Employee,FALSE,Benefits Manager,"R02e, L05e"
1c2b3b4b,Earl,Sims,1c2b3b,Earl.Sims,Earl.Sims@hrmsmail.com,Human Resources,Asia-Pacific,Tokyo,Employee,FALSE,Benefits Clerk,"R02e, L05e"
1c2b3b4e,Emily,Kelley,1c2b3b,Emily.Kelley,Emily.Kelley@hrmsmail.com,Human Resources,Asia-Pacific,Tokyo,Employee,FALSE,Benefits Clerk,"R02e, L05e"
1c2b3c4a,Antonio,Franklin,1c2b3c,Antonio.Franklin,Antonio.Franklin@hrmsmail.com,Inventory,Asia-Pacific,Tokyo,Employee,FALSE,Inventory Analyst I,"R02e, L05e"
1c2b3c4b,Robin,Lawson,1c2b3c,Robin.Lawson,Robin.Lawson@hrmsmail.com,Inventory,Asia-Pacific,Tokyo,Employee,FALSE,Inventory Analyst I,"R02e, L05e"
1c2b3c4e,Bryan,Ryan,1c2b3c,Bryan.Ryan,Bryan.Ryan@hrmsmail.com,Inventory,Asia-Pacific,Tokyo,Employee,FALSE,Inventory Analyst I,"R02e, L05e"
1c2b3d4a,Crystal,Schmidt,1c2b3d,Crystal.Schmidt,Crystal.Schmidt@hrmsmail.com,Inventory,Asia-Pacific,Tokyo,Employee,TRUE,Receiving Analyst,"R02e, L05e"
1c2b3d4b,Tony,Carr,1c2b3d,Tony.Carr,Tony.Carr@hrmsmail.com,Inventory,Asia-Pacific,Tokyo,Employee,FALSE,Receiving Analyst,"R02e, L05e"
1c2b3d4e,Rita,Wheeler,1c2b3d,Rita.Wheeler,Rita.Wheeler@hrmsmail.com,Inventory,Asia-Pacific,Tokyo,Employee,FALSE,Receiving Analyst,"R02e, L05e"
1c2c3a4a,Mike,Chapman,1c2c3a,Mike.Chapman,Mike.Chapman@hrmsmail.com,Accounting,Asia-Pacific,Taipei,Employee,FALSE,Tax Accountant,"R02e, L06e"
1c2c3a4b,Dawn,Oliver,1c2c3a,Dawn.Oliver,Dawn.Oliver@hrmsmail.com,Accounting,Asia-Pacific,Taipei,Employee,FALSE,Tax Accountant,"R02e, L06e"
1c2c3a4e,Leonard,Williamson,1c2c3a,Leonard.Williamson,Leonard.Williamson@hrmsmail.com,Accounting,Asia-Pacific,Taipei,Employee,FALSE,Tax Accountant,"R02e, L06e"
